t	e
1 0.0
2 55.74182732606874
4 28.30863369656328
6 60.18440905280804
8 39.79882648784576
10 73.50159262363789
12 72.27367979882648
14 80.30343671416597
16 80.17937971500419
18 83.1279128248114
20 84.52053646269908
22 86.02933780385582
24 86.66839899413243
26 87.64920368818106
28 87.98994132439229
30 88.67376362112321
32 89.5918692372171
34 89.7861693210394
36 90.61668063704946
38 90.36437552388935
40 90.83126571668063
42 91.7496227996647
44 92.25699916177703
46 92.41886001676446
