NT	PI	CH	T
7 3.139640 2701 0.030517
6 3.137560 2701 0.029954
5 3.141680 2701 0.025607
4 3.135520 2701 0.020811
3 3.137560 2701 0.016796
2 3.142480 2701 0.017155
1 3.135080 2701 0.002839
8 3.149800 2801 0.028928
7 3.126560 2801 0.029658
6 3.134800 2801 0.030107
5 3.151200 2801 0.025933
4 3.140920 2801 0.018854
3 3.134520 2801 0.022419
2 3.138520 2801 0.018804
1 3.143120 2801 0.002848
8 3.139160 2901 0.028233
7 3.135680 2901 0.029876
6 3.151040 2901 0.030811
5 3.140240 2901 0.026195
4 3.150840 2901 0.018130
3 3.144600 2901 0.022273
2 3.139840 2901 0.018682
1 3.141080 2901 0.002804
8 3.136080 3001 0.028902
7 3.134160 3001 0.030077
6 3.143960 3001 0.029953
5 3.143000 3001 0.026153
4 3.144160 3001 0.018374
3 3.144760 3001 0.022338
2 3.139800 3001 0.017253
1 3.134960 3001 0.002804
8 3.141560 3101 0.028549
7 3.146800 3101 0.029534
6 3.137640 3101 0.030262
5 3.144000 3101 0.026884
4 3.141640 3101 0.018189
3 3.133400 3101 0.022324
2 3.138400 3101 0.017068
1 3.144560 3101 0.002807
8 3.142800 3201 0.029423
7 3.140560 3201 0.030387
6 3.149120 3201 0.030376
5 3.142760 3201 0.026371
4 3.141640 3201 0.018984
3 3.137360 3201 0.022553
2 3.136640 3201 0.017509
1 3.141440 3201 0.002849
8 3.135520 3301 0.029071
7 3.139000 3301 0.030120
6 3.137640 3301 0.030935
5 3.153400 3301 0.026181
4 3.145000 3301 0.018548
3 3.147040 3301 0.022740
2 3.134640 3301 0.018790
1 3.139080 3301 0.003100
8 3.134080 3401 0.029142
7 3.149880 3401 0.029692
6 3.144040 3401 0.030515
5 3.151280 3401 0.025880
4 3.143560 3401 0.018759
3 3.140640 3401 0.023079
2 3.138000 3401 0.018683
1 3.144200 3401 0.002813
8 3.142000 3501 0.029095
7 3.144240 3501 0.029972
6 3.137840 3501 0.029532
5 3.145640 3501 0.025904
4 3.142160 3501 0.018555
