NT	PI	CH	T
7 3.141640 2701 0.024406
6 3.141080 2701 0.024368
5 3.142720 2701 0.021863
4 3.138560 2701 0.019296
3 3.151200 2701 0.009473
2 3.141240 2701 0.033108
1 3.132040 2701 0.003284
8 3.140360 2801 0.042275
7 3.131480 2801 0.028229
6 3.134360 2801 0.025119
5 3.136080 2801 0.021471
4 3.149720 2801 0.018244
3 3.139680 2801 0.015781
2 3.146240 2801 0.035823
1 3.140920 2801 0.003564
8 3.141080 2901 0.029677
7 3.140280 2901 0.033479
6 3.141080 2901 0.023959
5 3.131520 2901 0.022473
4 3.142680 2901 0.019269
3 3.145120 2901 0.015433
2 3.141000 2901 0.023719
1 3.144240 2901 0.003042
8 3.140400 3001 0.024517
7 3.139480 3001 0.032477
6 3.136840 3001 0.023949
5 3.133200 3001 0.022821
4 3.141480 3001 0.019266
3 3.136080 3001 0.015720
2 3.143720 3001 0.039208
1 3.148640 3001 0.002911
8 3.129880 3101 0.034134
7 3.136360 3101 0.026942
6 3.140760 3101 0.024109
5 3.139760 3101 0.022704
4 3.141440 3101 0.020755
3 3.140480 3101 0.019817
2 3.151040 3101 0.023800
1 3.156640 3101 0.002905
8 3.144800 3201 0.024307
7 3.153080 3201 0.030865
6 3.135680 3201 0.025413
5 3.141000 3201 0.022765
4 3.136600 3201 0.021268
3 3.134640 3201 0.018631
2 3.145160 3201 0.026139
1 3.137800 3201 0.003118
8 3.143920 3301 0.024003
7 3.141600 3301 0.022641
6 3.152320 3301 0.024188
5 3.139200 3301 0.023906
4 3.145360 3301 0.020651
3 3.145720 3301 0.014744
2 3.144280 3301 0.035545
1 3.138400 3301 0.003835
8 3.143440 3401 0.038209
7 3.146600 3401 0.028240
6 3.142520 3401 0.032658
5 3.134360 3401 0.022768
4 3.145320 3401 0.020676
3 3.130560 3401 0.019066
2 3.140720 3401 0.037727
1 3.144200 3401 0.002995
8 3.137480 3501 0.023165
7 3.126400 3501 0.024778
6 3.147360 3501 0.024492
5 3.136840 3501 0.022829
4 3.131640 3501 0.020765
3 3.138280 3501 0.016000
2 3.136360 3501 0.010565
1 3.141880 3501 0.003542
8 3.140840 3601 0.025366
7 3.144360 3601 0.034179
6 3.150280 3601 0.027653
5 3.139320 3601 0.026193
4 3.144920 3601 0.021883
3 3.145360 3601 0.021262
2 3.147080 3601 0.033288
1 3.152680 3601 0.003063
8 3.138840 3701 0.029796
7 3.154720 3701 0.027579
6 3.140880 3701 0.024468
5 3.136040 3701 0.022992
4 3.142360 3701 0.019628
3 3.149000 3701 0.018226
2 3.150120 3701 0.009751
1 3.145600 3701 0.003224
8 3.134560 3801 0.026018
7 3.146200 3801 0.027557
6 3.145040 3801 0.026092
5 3.128440 3801 0.025519
4 3.139920 3801 0.020087
3 3.144680 3801 0.019020
2 3.143800 3801 0.035351
1 3.139000 3801 0.002891
8 3.141920 3901 0.023916
7 3.142360 3901 0.030280
6 3.141560 3901 0.024367
5 3.146680 3901 0.023239
4 3.135600 3901 0.021642
3 3.138640 3901 0.022441
2 3.141240 3901 0.038643
1 3.142360 3901 0.002977
8 3.139680 4001 0.031377
7 3.137240 4001 0.026774
6 3.138800 4001 0.023876
5 3.137520 4001 0.023248
4 3.149240 4001 0.018599
3 3.137160 4001 0.019547
2 3.136880 4001 0.032399
1 3.146120 4001 0.002937
8 3.128960 4101 0.032009
7 3.142040 4101 0.031813
6 3.139640 4101 0.039387
5 3.135880 4101 0.024587
4 3.146120 4101 0.019310
3 3.141760 4101 0.018549
2 3.145360 4101 0.024899
1 3.139120 4101 0.003401
8 3.132640 4201 0.027394
7 3.142760 4201 0.030580
6 3.139280 4201 0.024340
5 3.142040 4201 0.023340
4 3.145840 4201 0.019058
3 3.146080 4201 0.021518
2 3.142680 4201 0.037956
1 3.142000 4201 0.003399
8 3.132320 4301 0.026157
7 3.145320 4301 0.024671
6 3.146480 4301 0.025042
5 3.139360 4301 0.024061
4 3.130320 4301 0.020228
3 3.142600 4301 0.022590
2 3.139880 4301 0.040090
1 3.145000 4301 0.002955
8 3.140200 4401 0.029233
7 3.147320 4401 0.026591
6 3.134520 4401 0.028750
5 3.140040 4401 0.024563
4 3.139000 4401 0.022441
3 3.146520 4401 0.021197
2 3.141400 4401 0.037335
1 3.141840 4401 0.002937
8 3.139520 4501 0.028166
7 3.139760 4501 0.023529
6 3.140840 4501 0.024795
5 3.148360 4501 0.025466
4 3.133800 4501 0.020498
3 3.137200 4501 0.022609
2 3.145000 4501 0.036585
1 3.140240 4501 0.002894
8 3.139040 4601 0.025611
7 3.144800 4601 0.025188
6 3.146080 4601 0.023571
5 3.139000 4601 0.021965
4 3.150720 4601 0.018653
3 3.139080 4601 0.017992
2 3.142520 4601 0.011769
1 3.146800 4601 0.002938
8 3.134960 4701 0.022404
7 3.139120 4701 0.027109
6 3.140720 4701 0.023760
5 3.144160 4701 0.023510
4 3.136840 4701 0.021053
3 3.147720 4701 0.021534
2 3.136600 4701 0.034552
1 3.146960 4701 0.003025
8 3.143440 4801 0.025179
7 3.147680 4801 0.024405
6 3.143160 4801 0.024454
5 3.146040 4801 0.021607
4 3.145640 4801 0.019659
3 3.140360 4801 0.015823
2 3.138320 4801 0.030398
1 3.138840 4801 0.003183
8 3.145040 4901 0.024457
7 3.140080 4901 0.024871
6 3.144720 4901 0.024679
5 3.142560 4901 0.022506
4 3.129400 4901 0.020344
3 3.139880 4901 0.021644
2 3.136240 4901 0.024406
1 3.136360 4901 0.002969
8 3.151440 5001 0.029213
7 3.135920 5001 0.024848
6 3.142320 5001 0.021471
5 3.141680 5001 0.025254
4 3.143280 5001 0.022122
3 3.145280 5001 0.019276
2 3.137240 5001 0.028102
1 3.135960 5001 0.002944
8 3.148840 5101 0.030063
7 3.133880 5101 0.040853
6 3.137440 5101 0.023940
5 3.142120 5101 0.023118
4 3.142960 5101 0.022513
3 3.142360 5101 0.021236
